time,open,high,low,close,tick_volume,spread,real_volume
2026-01-14 20:20:00,4627.21,4630.23,4624.94,4628.43,1603,0,0
2026-01-14 20:30:00,4628.38,4632.6,4628.23,4628.96,1435,0,0
2026-01-14 20:40:00,4628.98,4634.12,4628.98,4632.15,1420,0,0
2026-01-14 20:50:00,4632.21,4637.31,4632.2,4635.15,1447,0,0
2026-01-14 21:00:00,4635.23,4642.97,4634.16,4635.01,1649,0,0
2026-01-14 21:10:00,4634.98,4638.68,4633.61,4638.67,1495,0,0
2026-01-14 21:20:00,4638.64,4640.17,4634.88,4635.09,1493,0,0
2026-01-14 21:30:00,4635.13,4640.59,4634.78,4639.32,1525,0,0
2026-01-14 21:40:00,4639.32,4640.87,4638.72,4639.58,1320,0,0
2026-01-14 21:50:00,4639.58,4641.58,4635.97,4639.41,1430,0,0
2026-01-14 22:00:00,4639.38,4641.23,4626.38,4637.3,1748,0,0
2026-01-14 22:10:00,4637.16,4641.72,4631.1,4636.99,1657,0,0
2026-01-14 22:20:00,4636.98,4637.33,4631.5,4634.42,1529,0,0
2026-01-14 22:30:00,4634.38,4635.61,4626.52,4633.9,1520,0,0
2026-01-14 22:40:00,4633.85,4634.38,4626.22,4630.68,1545,0,0
2026-01-14 22:50:00,4630.66,4633.28,4629.1,4632.88,1599,0,0
2026-01-14 23:00:00,4632.75,4633.13,4628.77,4629.86,879,0,0
2026-01-14 23:10:00,4629.88,4630.69,4622.74,4625.8,1134,0,0
2026-01-14 23:20:00,4625.86,4627.04,4621.12,4622.51,936,0,0
2026-01-14 23:30:00,4622.54,4623.46,4619.84,4620.86,770,0,0
2026-01-14 23:40:00,4620.82,4622.96,4618.04,4620.94,734,0,0
2026-01-14 23:50:00,4620.94,4629.05,4620.85,4626.93,1006,0,0
2026-01-15 01:00:00,4631.33,4632.68,4612.79,4612.79,1091,0,0
2026-01-15 01:10:00,4612.72,4618.56,4610.91,4612.17,1428,0,0
2026-01-15 01:20:00,4612.19,4612.45,4605.74,4609.25,1254,0,0
2026-01-15 01:30:00,4609.23,4613.09,4606.69,4607.0,1248,0,0
2026-01-15 01:40:00,4607.27,4614.69,4603.16,4613.88,1278,0,0
2026-01-15 01:50:00,4613.54,4616.25,4610.2,4615.36,1071,0,0
2026-01-15 02:00:00,4615.36,4617.65,4611.77,4617.35,1180,0,0
2026-01-15 02:10:00,4617.35,4618.27,4614.69,4617.06,1052,0,0
2026-01-15 02:20:00,4617.03,4617.91,4614.34,4616.86,949,0,0
2026-01-15 02:30:00,4616.86,4618.28,4615.59,4616.05,907,0,0
2026-01-15 02:40:00,4616.15,4616.34,4610.54,4610.84,1187,0,0
2026-01-15 02:50:00,4610.67,4617.65,4610.35,4615.31,1201,0,0
2026-01-15 03:00:00,4615.32,4617.73,4606.79,4616.79,1694,0,0
2026-01-15 03:10:00,4616.68,4617.06,4602.92,4603.68,1635,0,0
2026-01-15 03:20:00,4603.68,4605.72,4597.11,4600.7,1739,0,0
2026-01-15 03:30:00,4600.56,4600.91,4583.9,4596.96,1877,0,0
2026-01-15 03:40:00,4596.81,4604.84,4594.94,4601.62,1778,0,0
2026-01-15 03:50:00,4601.53,4607.16,4600.08,4600.2,1658,0,0
2026-01-15 04:00:00,4600.14,4611.09,4597.71,4610.46,1623,0,0
2026-01-15 04:10:00,4610.48,4614.52,4609.79,4614.07,1502,0,0
2026-01-15 04:20:00,4614.04,4614.8,4607.5,4611.08,1366,0,0
2026-01-15 04:30:00,4611.14,4614.72,4604.43,4606.07,1647,0,0
2026-01-15 04:40:00,4605.96,4608.86,4600.11,4604.23,1522,0,0
2026-01-15 04:50:00,4604.2,4605.37,4595.69,4603.01,1503,0,0
2026-01-15 05:00:00,4603.0,4604.34,4595.87,4596.88,1627,0,0
2026-01-15 05:10:00,4596.92,4598.79,4589.73,4591.14,1647,0,0
2026-01-15 05:20:00,4591.33,4591.33,4581.41,4585.3,1703,0,0
2026-01-15 05:30:00,4585.31,4597.37,4581.35,4595.88,1582,0,0
2026-01-15 05:40:00,4595.9,4597.55,4589.51,4593.96,1382,0,0
2026-01-15 05:50:00,4593.97,4595.23,4591.43,4592.45,1255,0,0
2026-01-15 06:00:00,4592.35,4594.5,4587.12,4587.64,1273,0,0
2026-01-15 06:10:00,4587.65,4595.02,4587.65,4593.05,1120,0,0
2026-01-15 06:20:00,4593.08,4597.62,4590.96,4594.06,1196,0,0
2026-01-15 06:30:00,4594.04,4595.97,4593.4,4594.92,982,0,0
2026-01-15 06:40:00,4594.96,4595.84,4589.55,4592.92,1119,0,0
2026-01-15 06:50:00,4592.89,4595.7,4591.77,4592.19,1017,0,0
2026-01-15 07:00:00,4592.31,4592.42,4588.93,4589.83,1015,0,0
2026-01-15 07:10:00,4589.84,4592.51,4581.35,4587.21,1199,0,0
2026-01-15 07:20:00,4587.18,4593.11,4585.41,4592.99,1003,0,0
2026-01-15 07:30:00,4593.06,4593.94,4581.65,4583.67,1632,0,0
2026-01-15 07:40:00,4583.57,4592.05,4581.65,4591.97,1550,0,0
2026-01-15 07:50:00,4591.98,4599.01,4591.8,4595.4,1533,0,0
2026-01-15 08:00:00,4595.13,4604.91,4593.79,4604.72,1527,0,0
2026-01-15 08:10:00,4604.77,4609.38,4602.9,4609.01,1555,0,0
2026-01-15 08:20:00,4608.96,4609.88,4603.98,4604.22,1467,0,0
2026-01-15 08:30:00,4604.17,4607.65,4600.61,4605.59,1481,0,0
2026-01-15 08:40:00,4605.6,4609.34,4603.78,4609.08,1432,0,0
2026-01-15 08:50:00,4609.15,4612.11,4606.75,4610.28,1238,0,0
2026-01-15 09:00:00,4611.21,4611.21,4606.0,4609.09,1142,0,0
2026-01-15 09:10:00,4609.08,4613.64,4607.69,4612.64,1115,0,0
2026-01-15 09:20:00,4612.65,4612.65,4608.78,4610.33,1043,0,0
2026-01-15 09:30:00,4610.36,4611.36,4603.6,4603.62,1007,0,0
2026-01-15 09:40:00,4603.61,4605.55,4601.39,4603.18,1041,0,0
2026-01-15 09:50:00,4603.23,4603.23,4599.39,4601.91,1153,0,0
2026-01-15 10:00:00,4601.83,4604.57,4597.94,4602.0,1338,0,0
2026-01-15 10:10:00,4601.92,4606.06,4600.52,4605.96,1139,0,0
2026-01-15 10:20:00,4605.96,4606.39,4600.52,4602.2,1160,0,0
2026-01-15 10:30:00,4602.6,4605.28,4599.37,4605.23,1141,0,0
